stress_x,stress_y,stress_z,void_ratio
9955.164625652076,9961.25917053969,9951.04269848278,0.7303034649955247
11657.782645328274,11676.810230062902,11652.101652442523,0.7296357084198006
13650.786697474257,13665.05776040986,13658.068446809306,0.7288972445258657
15987.311949152634,16017.258758516997,15979.43298702258,0.7232892601567217
18725.682218533653,18730.430028136314,18735.692397788236,0.7207795213694247
21934.138386203314,21956.988715937307,21917.3561505482,0.7173862723306665
25691.89376532596,25710.27184871939,25665.079860396287,0.716062267459015
30089.796001490056,30101.3422834626,30060.76509879918,0.7146083513961352
35228.78237583208,35246.422005876666,35214.93769295545,0.7131492680365732
41276.857767364934,41278.82048057874,41202.65541397984,0.7109292806996886
48340.6661087053,48309.53627097627,48272.13224486083,0.7066393497899424
56588.8095396234,56519.40258546235,56591.208266317706,0.7048319098650376
66285.7865879468,66284.43893417726,66140.21004382864,0.7003984503473306
77528.2747070232,77576.18712321717,77567.4769040601,0.6979235499886005
90820.25321674177,90784.75410235055,90845.93687573723,0.6951087245379732
106279.33338052467,106385.70898959381,106356.15337315763,0.6881480115013517
124546.61762284656,124544.57837125634,124457.94609147908,0.6844226434961562
145808.6438023801,145817.15988036504,145733.19737157607,0.6810947696928129
170664.02013241127,170794.41692170568,170650.2898326523,0.6760097734139444
