pos_x,pos_y,pos_z,rad
0.09685908,-0.2479241,-0.24494697,0.0034281588
-0.054338593,-0.36404517,-0.23748392,0.0023241583
-0.14755547,-0.013817016,-0.22447719,0.0023482288
0.00934135,-0.24416588,-0.38733843,0.0029244446
0.032407213,0.22731966,-0.27347323,0.0025441532
0.120541275,-0.16864897,-0.3302141,0.002018274
0.0925551,-0.2781414,-0.2931234,0.003988247
0.08819465,-0.42983282,-0.1721773,0.0021589983
0.118751004,-0.14847618,-0.38437214,0.0028768172
0.10478131,0.23346433,-0.2530358,0.003558282
0.07562582,0.1239977,-0.1884253,0.0019543914
0.0640704,-0.42134702,-0.35313353,0.0024405061
0.13287589,0.15809211,-0.3567723,0.0026262
0.010273865,0.10247411,-0.23910096,0.003661425
-0.018402059,-0.41007775,-0.34554338,0.003241135
-0.12945853,-0.20150799,-0.17870177,0.002110402
-0.12313356,-0.024550585,-0.33397433,0.0024367392
-0.12517068,0.035113145,-0.3041088,0.0015909785
-0.06262702,-0.044602934,-0.36670655,0.0026532535
0.07220805,0.08434345,-0.19766654,0.0037399489
0.08909431,-0.43255743,-0.19143833,0.0036161283
-0.077031724,-0.18222943,-0.15738188,0.0037209378
-0.055507362,-0.4267008,-0.22447135,0.0027702681
-0.035030104,0.11474227,-0.2360343,0.0026822768
0.011182163,0.0985342,-0.27024078,0.0037068783
0.047721885,-0.21385762,-0.32600388,0.0030953034
-0.14398673,-0.39446133,-0.26526994,0.0024756105
0.033793323,-0.33689785,-0.23951507,0.003955257
-0.02159124,0.13355522,-0.3526,0.0017268219
0.09298406,-0.22514677,-0.22163697,0.003458998
0.060133714,-0.43796495,-0.34861282,0.0031598331
0.0022704138,-0.40574303,-0.23986346,0.0039601466
-0.14777286,0.21287756,-0.29068434,0.002024852
0.044233542,-0.2990243,-0.3028922,0.0022548013
-0.08729974,0.0032505125,-0.21772131,0.0039543705
0.056352414,-0.20152491,-0.26207694,0.0038634825
0.11541386,-0.39425278,-0.33221576,0.0032589212
-0.06089516,-0.058007475,-0.17076316,0.0036392706
0.024797752,-0.006110648,-0.26155165,0.0021033508
0.043625697,-0.23235248,-0.38050246,0.0036112533
-0.06054992,-0.3649537,-0.2429605,0.0020208403
-0.01187679,0.069731496,-0.22746192,0.00175235
-0.10556227,0.03150125,-0.36018762,0.003594432
-0.056659244,0.20833284,-0.25659832,0.003051751
-0.10204761,-0.005723036,-0.34257177,0.0029108345
0.089233585,-0.42350265,-0.16691348,0.0020970053
0.01360774,-0.13100033,-0.26558378,0.002314943
-0.13671343,-0.23217607,-0.36826125,0.003236387
0.1228041,-0.035036642,-0.37814906,0.0028593196
-0.061786108,-0.26913753,-0.20425424,0.002736061
-0.12862825,0.10013661,-0.31386393,0.002670961
-0.1365877,0.03592033,-0.27734727,0.0033375116
0.06372734,0.23824796,-0.39408085,0.0030037086
-0.046063717,-0.4108765,-0.36456358,0.003339231
-0.035576757,0.041208133,-0.34584153,0.0027677785
0.124212205,-0.22781189,-0.2571179,0.0017707227
0.084638454,-0.42501462,-0.21846618,0.0032763449
-0.01662482,-0.38241223,-0.26214182,0.0020573488
0.13097562,0.17086053,-0.15462203,0.0038958439
0.06490318,0.23219606,-0.2497312,0.0029411835
-0.07659791,-0.03323116,-0.33054927,0.0031452219
-0.07943177,0.10639774,-0.33169538,0.0021118016
0.06442883,-0.045880396,-0.23336448,0.0015291838
-0.09951573,-0.15648423,-0.15487319,0.0029510094
-0.016291328,-0.13746217,-0.29794976,0.0037745144
0.00077500247,0.20501566,-0.3292995,0.0028447537
-0.0051261913,-0.31088522,-0.34872073,0.002855634
-0.13384113,-0.13819714,-0.38746855,0.0016470648
-0.062392578,0.0670612,-0.22572802,0.003119306
-0.040522195,-0.3207097,-0.20464294,0.0031728442
0.016356112,0.21483146,-0.37920523,0.0021517205
-0.0071362006,0.17803165,-0.1980927,0.0032150468
-0.13119212,-0.15017685,-0.39038894,0.0018089431
0.10562822,0.18932112,-0.18603335,0.0015496883
-0.059370015,-0.3737628,-0.26330292,0.0021746096
-0.10660529,-0.20083731,-0.19877833,0.0020971322
0.0825316,-0.009311125,-0.28220353,0.0035870834
0.049171686,-0.027061388,-0.22503382,0.0025246928
-0.1299166,-0.07668024,-0.18484595,0.0031353326
0.015300149,-0.37887916,-0.27432653,0.001972612
-0.0060904925,-0.16573112,-0.24101132,0.0035905028
0.015038985,-0.07382065,-0.33930692,0.002744426
-0.0018140619,0.12147175,-0.2545971,0.0034030147
0.13910693,-0.075580396,-0.2771772,0.0027999536
0.001383513,-0.4316699,-0.27720746,0.0036026388
0.04514985,-0.43320322,-0.18072121,0.0037223785
0.110666625,-0.096749865,-0.38121304,0.0031923885
0.10130651,-0.35415784,-0.164995,0.0030736085
-0.07120057,-0.43724233,-0.26346973,0.002150622
-0.13273229,-0.2426195,-0.23837537,0.003888216
0.08275887,-0.38713112,-0.20140335,0.0024926832
0.07245493,-0.2931459,-0.2805434,0.0037617225
0.024100607,-0.29267618,-0.27145228,0.0029404843
0.12082777,-0.3587496,-0.34365422,0.0025299762
-0.0027416192,-0.30431184,-0.2654502,0.0024715953
0.10351643,-0.40511015,-0.17552444,0.0033747533
-0.061771594,0.20096244,-0.3829987,0.0033637837
-0.05364975,-0.20589451,-0.23230013,0.0018976777
-0.028577117,-0.040933285,-0.19454852,0.0019573064
-0.09039161,-0.27708834,-0.30323932,0.0032752948
0.08990133,-0.0025083788,-0.35456297,0.0033200942
0.06649974,0.042333066,-0.322819,0.0034114884
0.05782406,-0.17834418,-0.32456607,0.0035678658
0.059449382,-0.04353014,-0.27736482,0.002610997
-0.1347878,-0.16751309,-0.21961936,0.0035300008
-0.08032646,-0.025846675,-0.20032652,0.0019671572
-0.005698334,-0.24530135,-0.22040425,0.0022438378
0.07003217,0.00034396647,-0.24615113,0.0039235684
0.055710576,0.1534429,-0.20308049,0.0021515184
-0.083063506,0.1443714,-0.19625562,0.0019002713
-0.114835605,-0.30027127,-0.3194897,0.0032806934
-0.00014592339,0.11200868,-0.2759167,0.0034994902
0.052077554,-0.32677904,-0.26680338,0.0017827381
0.116044894,0.1643225,-0.2698766,0.0024577414
0.012539685,-0.3914032,-0.37242353,0.0015423261
0.08323245,-0.4196774,-0.39207637,0.0027540056
-0.06862872,0.18552475,-0.2332905,0.0021971255
-0.009773309,0.14933753,-0.1959694,0.0017337996
0.085615605,-0.35120285,-0.27392724,0.002777179
0.13438667,-0.3149216,-0.22138253,0.0033497096
-0.04951622,-0.3571456,-0.3105378,0.0037454779
-0.0936743,-0.17467836,-0.17990226,0.0025083574
0.12853934,0.042724185,-0.29462478,0.0038347472
-0.042874943,-0.21513586,-0.32372922,0.0022696105
0.07972147,-0.035267267,-0.29301733,0.0036816993
0.007883833,-0.42485905,-0.23390791,0.0039866944
-0.10804955,-0.27260193,-0.27624208,0.002748591
0.09037323,-0.34021798,-0.34245577,0.0021488583
0.0088775875,-0.22456901,-0.3096089,0.0031309905
0.111855075,-0.42472464,-0.38218006,0.0020807064
-0.09036869,0.1912195,-0.39799303,0.001995146
-0.111752704,-0.42996854,-0.34019232,0.0028186324
0.026286395,-0.11883732,-0.21924062,0.003554668
-0.0066215927,0.15227535,-0.2544266,0.0032194622
0.03862254,0.17621729,-0.19223748,0.0039592106
0.051790997,-0.21815923,-0.2693778,0.002653099
-0.12459115,0.067735024,-0.20100069,0.0015370139
-0.087928556,-0.24811476,-0.16591838,0.0039450517
-0.010130794,-0.13009079,-0.32946175,0.0026337751
0.06282021,-0.10234148,-0.20710897,0.0016950099
0.03235894,-0.44835162,-0.32580072,0.0016484123
0.08378035,0.11963581,-0.26726815,0.0027684933
-0.114249155,-0.33841026,-0.31265628,0.0031977296
0.019775534,-0.08611275,-0.33378568,0.002785893
-0.052223396,-0.17738137,-0.29447865,0.0015133285
0.060928393,-0.0572702,-0.30574465,0.0025505407
-0.06839641,0.13808808,-0.29362002,0.0023109831
-0.09204495,-0.43123448,-0.20966312,0.002789585
0.09225625,0.22137211,-0.18503237,0.0026824332
0.049697507,-0.32091445,-0.23047271,0.00231814
-0.020286588,0.01750216,-0.19730541,0.002467646
-0.1040299,-0.12181156,-0.24307619,0.0018355959
-0.00013743945,-0.3464124,-0.3262899,0.0020296285
0.10983042,-0.4276207,-0.16405803,0.0029620682
-0.056217294,0.030713605,-0.2750747,0.003924879
-0.0074161664,-0.44261956,-0.21991846,0.002858991
0.026806561,-0.17849296,-0.23942944,0.0028562376
-0.089495495,-0.05847619,-0.36610067,0.0016113053
-0.11670304,-0.21664378,-0.18230216,0.0020040951
-0.079046234,-0.41812718,-0.22769123,0.0022080527
0.13351212,-0.22008409,-0.30084893,0.0030009528
0.07897038,-0.25464508,-0.23008008,0.0018699991
0.0791571,-0.44716287,-0.15538758,0.002743019
-0.01566238,0.103118576,-0.39048463,0.0038836505
-0.0659603,-0.2715731,-0.38754588,0.002846642
-0.13566434,0.010999455,-0.207552,0.002980359
-0.08770107,-0.088377915,-0.32682395,0.0026243336
0.1434401,-0.3010007,-0.15372644,0.0035180554
-0.016117144,-0.15555313,-0.38010597,0.0021848201
0.10065327,0.20673585,-0.19066182,0.003810641
-0.10261621,0.1200288,-0.22682428,0.003113967
-0.025163677,-0.4211899,-0.31868216,0.0035699056
0.032469396,0.22921567,-0.3277763,0.003146343
0.03853575,-0.12092736,-0.15777831,0.0035282078
0.06959802,-0.046833042,-0.21556884,0.0038787464
-0.008622809,0.07158094,-0.2852874,0.0015731989
-0.016347488,0.2434131,-0.2808099,0.002877457
0.1219379,0.11827084,-0.1526786,0.002648221
-0.10990956,-0.44719833,-0.16608799,0.0024721194
0.039620135,-0.43198496,-0.30685055,0.0027446772
