pos_x,pos_y,pos_z,rad
0.097008094,-0.25616592,-0.24479796,0.0034281588
-0.054487605,-0.37228566,-0.23778194,0.0023241583
-0.14755547,-0.022046734,-0.22447719,0.0023482288
0.00934135,-0.2523956,-0.38733843,0.0029244446
0.032407213,0.21908993,-0.27347323,0.0025441532
0.120541275,-0.1768787,-0.3302141,0.002018274
0.0925551,-0.28637114,-0.2931234,0.003988247
0.087588,-0.42539707,-0.1732561,0.0021589983
0.118751004,-0.15670592,-0.38437214,0.0028768172
0.10478131,0.2252346,-0.2530358,0.003558282
0.07562582,0.11576797,-0.1884253,0.0019543914
0.05955961,-0.42263484,-0.35547653,0.0024405061
0.13287589,0.14986238,-0.3567723,0.0026262
0.010273865,0.094244376,-0.23910096,0.003661425
-0.01728387,-0.41607863,-0.34524614,0.003241135
-0.12945853,-0.20973772,-0.17870177,0.002110402
-0.12313356,-0.032780655,-0.33397433,0.0024367392
-0.12517068,0.026883624,-0.3041088,0.0015909785
-0.06262702,-0.052832562,-0.36670655,0.0026532535
0.07220805,0.076113716,-0.19766654,0.0037399489
0.089962274,-0.43612254,-0.18947086,0.0036161283
-0.07710623,-0.19024567,-0.15723287,0.0037209378
-0.057273027,-0.4287247,-0.22537449,0.0027702681
-0.035030104,0.10651254,-0.2360343,0.0026822768
0.011182163,0.090304464,-0.27024078,0.0037068783
0.047721885,-0.22208735,-0.32600388,0.0030953034
-0.14149733,-0.38757405,-0.26536265,0.0024756105
0.03375607,-0.3451315,-0.23951507,0.003955257
-0.02159124,0.12532549,-0.3526,0.0017268219
0.09298406,-0.2333765,-0.22163697,0.003458998
0.058112603,-0.43846267,-0.34751847,0.0031598331
-0.00040370537,-0.4093167,-0.23953006,0.0039601466
-0.14777286,0.20464782,-0.29068434,0.002024852
0.044233542,-0.30725405,-0.3028922,0.0022548013
-0.08729974,-0.004979122,-0.21772131,0.0039543705
0.056352414,-0.20975465,-0.26207694,0.0038634825
0.116209246,-0.39548716,-0.33177814,0.0032589212
-0.06089516,-0.06623609,-0.17076316,0.0036392706
0.024797752,-0.014340287,-0.26155165,0.0021033508
0.043625697,-0.24058221,-0.38050246,0.0036112533
-0.061034206,-0.3735908,-0.24325852,0.0020208403
-0.01187679,0.06149989,-0.22746192,0.00175235
-0.10556227,0.023271622,-0.36018762,0.003594432
-0.056659244,0.2001031,-0.25659832,0.003051751
-0.10204761,-0.013952655,-0.34257177,0.0029108345
0.08649625,-0.424887,-0.16386981,0.0020970053
0.01360774,-0.13923006,-0.26558378,0.002314943
-0.13671343,-0.2404058,-0.36826125,0.003236387
0.1228041,-0.04326627,-0.37814906,0.0028593196
-0.06193512,-0.27729526,-0.20425424,0.002736061
-0.12862825,0.091906875,-0.31386393,0.002670961
-0.1365877,0.027691254,-0.27734727,0.0033375116
0.06372734,0.23001823,-0.39408085,0.0030037086
-0.04268655,-0.40878195,-0.36491126,0.003339231
-0.035576757,0.032978505,-0.34584153,0.0027677785
0.12383968,-0.23574291,-0.25681987,0.0017707227
0.08601245,-0.42704263,-0.21758804,0.0032763449
-0.01662482,-0.39064196,-0.26214182,0.0020573488
0.13097562,0.1626308,-0.15462203,0.0038958439
0.06490318,0.22396633,-0.2497312,0.0029411835
-0.07659791,-0.04146079,-0.33054927,0.0031452219
-0.07943177,0.09816801,-0.33169538,0.0021118016
0.06442883,-0.054110024,-0.23336448,0.0015291838
-0.09951573,-0.16471396,-0.15487319,0.0029510094
-0.016291328,-0.1456919,-0.29794976,0.0037745144
0.00077500247,0.19678593,-0.3292995,0.0028447537
