pos_x,pos_y,pos_z,rad
0.09782766,-0.30669484,-0.2439784,0.0034281588
-0.04826244,-0.40951684,-0.2372519,0.0023241583
-0.14755547,-0.072621465,-0.22447719,0.0023482288
0.00934135,-0.30294836,-0.38733843,0.0029244446
0.032407213,0.16851433,-0.27347323,0.0025441532
0.120541275,-0.2274543,-0.3302141,0.002018274
0.0925551,-0.3369239,-0.2931234,0.003988247
0.090333365,-0.43024513,-0.1728093,0.0021589983
0.118751004,-0.20728152,-0.38437214,0.0028768172
0.10478131,0.174659,-0.2530358,0.003558282
0.07562582,0.065192364,-0.1884253,0.0019543914
0.05437374,-0.42452195,-0.3522782,0.0024405061
0.13287589,0.09928677,-0.3567723,0.0026262
0.010273865,0.043668285,-0.23910096,0.003661425
-0.0155961625,-0.42639413,-0.3474817,0.003241135
-0.12945853,-0.2603198,-0.17870177,0.002110402
-0.12313356,-0.08335439,-0.33397433,0.0024367392
-0.12517068,-0.02369148,-0.3041088,0.0015909785
-0.06262702,-0.103406295,-0.36670655,0.0026532535
0.07220805,0.02553682,-0.19766654,0.0037399489
0.09384523,-0.4405995,-0.18727702,0.0036161283
-0.07751601,-0.23964682,-0.15664408,0.0037209378
-0.057418156,-0.43352863,-0.22185817,0.0027702681
-0.035030104,0.05593567,-0.2360343,0.0026822768
0.011182163,0.039727572,-0.27024078,0.0037068783
0.047721885,-0.27264154,-0.32600388,0.0030953034
-0.12746133,-0.40667272,-0.28340748,0.0024756105
0.032376472,-0.3929811,-0.24055728,0.003955257
-0.02159124,0.07475186,-0.3526,0.0017268219
0.092855304,-0.28403884,-0.22163697,0.003458998
0.058319066,-0.4412013,-0.3489907,0.0031598331
0.007151155,-0.42055097,-0.23477839,0.0039601466
-0.14777286,0.15407223,-0.29068434,0.002024852
0.044233542,-0.3578068,-0.3028922,0.0022548013
-0.08729974,-0.05555216,-0.21772131,0.0039543705
0.05608021,-0.25903615,-0.26207694,0.0038634825
0.124125876,-0.41031793,-0.3297077,0.0032589212
-0.06089516,-0.1168117,-0.17076316,0.0036392706
0.025085922,-0.06551797,-0.26155165,0.0021033508
0.043625697,-0.29113498,-0.38050246,0.0036112533
-0.0573133,-0.41329065,-0.22722386,0.0020208403
-0.01187679,0.010924752,-0.22746192,0.00175235
-0.10556227,-0.02730348,-0.36018762,0.003594432
-0.056659244,0.1495275,-0.25659832,0.003051751
-0.10204761,-0.06452799,-0.34257177,0.0029108345
0.08379891,-0.42872792,-0.16570246,0.0020970053
0.01360774,-0.18980566,-0.26558378,0.002314943
-0.13671343,-0.29095855,-0.36826125,0.003236387
0.1228041,-0.093840115,-0.37814906,0.0028593196
-0.06275468,-0.32745904,-0.20425424,0.002736061
-0.12862825,0.041330706,-0.31386393,0.002670961
-0.1365877,-0.022883754,-0.27734727,0.0033375116
0.06372734,0.17944263,-0.39408085,0.0030037086
-0.025776267,-0.42427632,-0.36766505,0.003339231
-0.035576757,-0.017596124,-0.34584153,0.0027677785
0.1222624,-0.28457436,-0.25555813,0.0017707227
0.08312535,-0.43167198,-0.21220832,0.0032763449
-0.00987145,-0.41711885,-0.24883385,0.0020573488
0.13097562,0.112062074,-0.15462203,0.0038958439
0.06490318,0.17339073,-0.2497312,0.0029411835
-0.07659791,-0.09203452,-0.33054927,0.0031452219
-0.07943177,0.047591697,-0.33169538,0.0021118016
0.06442883,-0.10468494,-0.23336448,0.0015291838
-0.09951573,-0.21528956,-0.15487319,0.0029510094
-0.016291328,-0.1962675,-0.29794976,0.0037745144
0.00077500247,0.14621033,-0.3292995,0.0028447537
-0.0051261913,-0.3696677,-0.34872073,0.002855634
-0.13384113,-0.19700247,-0.38746855,0.0016470648
-0.062150434,0.009724761,-0.22572802,0.003119306
-0.040522195,-0.3794922,-0.20464294,0.0031728442
0.016356112,0.15602612,-0.37920523,0.0021517205
-0.0071362006,0.119226314,-0.1980927,0.0032150468
-0.13119212,-0.20898218,-0.39038894,0.0018089431
0.1072608,0.13361935,-0.18669735,0.0015496883
-0.055360675,-0.41134936,-0.2675465,0.0021746096
-0.10660529,-0.25963882,-0.19877833,0.0020971322
