pos_x,pos_y,pos_z,rad
0.096635565,-0.23614268,-0.24517049,0.0034281588
-0.054115076,-0.35222757,-0.23703688,0.0023241583
-0.14755547,-0.002029775,-0.22447719,0.0023482288
0.00934135,-0.2323785,-0.38733843,0.0029244446
0.032407213,0.23910704,-0.27347323,0.0025441532
0.120541275,-0.15686159,-0.3302141,0.002018274
0.0925551,-0.26633456,-0.2931234,0.003988247
0.08868404,-0.4255437,-0.17294514,0.0021589983
0.118751004,-0.1366888,-0.38437214,0.0028768172
0.10478131,0.24525172,-0.2530358,0.003558282
0.07562582,0.13578509,-0.1884253,0.0019543914
0.06654976,-0.41845977,-0.3555083,0.0024405061
0.13287589,0.1698795,-0.3567723,0.0026262
0.010273865,0.1142615,-0.23910096,0.003661425
-0.01803518,-0.39897817,-0.34572634,0.003241135
-0.12945853,-0.1897206,-0.17870177,0.002110402
-0.12313356,-0.012763356,-0.33397433,0.0024367392
-0.12517068,0.046900373,-0.3041088,0.0015909785
-0.06262702,-0.032815706,-0.36670655,0.0026532535
0.07220805,0.09613084,-0.19766654,0.0037399489
0.085117884,-0.42885676,-0.19016454,0.0036161283
-0.076919965,-0.17076227,-0.1576054,0.0037209378
-0.05925679,-0.42413038,-0.22234927,0.0027702681
-0.035030104,0.12652545,-0.2360343,0.0026822768
0.011182163,0.11032159,-0.27024078,0.0037068783
0.047721885,-0.20207024,-0.32600388,0.0030953034
-0.12839222,-0.41150945,-0.28633672,0.0024756105
0.033849202,-0.3250871,-0.23951507,0.003955257
-0.02159124,0.1453426,-0.3526,0.0017268219
0.09298406,-0.21335939,-0.22163697,0.003458998
0.057181668,-0.4337762,-0.3478851,0.0031598331
0.0029432664,-0.394121,-0.23991488,0.0039601466
-0.14777286,0.22466494,-0.29068434,0.002024852
0.044233542,-0.28721747,-0.3028922,0.0022548013
-0.08729974,0.01503772,-0.21772131,0.0039543705
0.056352414,-0.18973753,-0.26207694,0.0038634825
0.11514209,-0.39077327,-0.33074927,0.0032589212
-0.06089516,-0.046220247,-0.17076316,0.0036392706
0.024797752,0.005676586,-0.26155165,0.0021033508
0.043625697,-0.2205651,-0.38050246,0.0036112533
-0.059823487,-0.35259047,-0.24251346,0.0020208403
-0.01187679,0.08151889,-0.22746192,0.00175235
-0.10556227,0.043288477,-0.36018762,0.003594432
-0.056659244,0.22012022,-0.25659832,0.003051751
-0.10204761,0.0060641947,-0.34257177,0.0029108345
0.093702555,-0.41458654,-0.17152886,0.0020970053
0.01360774,-0.11921218,-0.26558378,0.002314943
-0.13671343,-0.22038868,-0.36826125,0.003236387
0.1228041,-0.023249416,-0.37814906,0.0028593196
-0.061632782,-0.2574216,-0.20425424,0.002736061
-0.12862825,0.111924,-0.31386393,0.002670961
-0.1365877,0.047707558,-0.27734727,0.0033375116
0.06372734,0.25003603,-0.39408085,0.0030037086
-0.048158605,-0.40409786,-0.3668218,0.003339231
-0.035576757,0.05299536,-0.34584153,0.0027677785
0.12433685,-0.21644604,-0.25652802,0.0017707227
0.080562085,-0.41877773,-0.2214004,0.0032763449
-0.01662482,-0.37060538,-0.26214182,0.0020573488
0.13097562,0.18264791,-0.15462203,0.0038958439
0.06490318,0.24398345,-0.2497312,0.0029411835
-0.07659791,-0.021443933,-0.33054927,0.0031452219
-0.07943177,0.11818513,-0.33169538,0.0021118016
0.06442883,-0.034093168,-0.23336448,0.0015291838
-0.09951573,-0.14469685,-0.15487319,0.0029510094
-0.016291328,-0.12567478,-0.29794976,0.0037745144
0.00077500247,0.21680304,-0.3292995,0.0028447537
-0.0051261913,-0.29907838,-0.34872073,0.002855634
-0.13384113,-0.12640975,-0.38746855,0.0016470648
-0.062448457,0.078509524,-0.22572802,0.003119306
-0.040522195,-0.30890286,-0.20464294,0.0031728442
0.016356112,0.22661884,-0.37920523,0.0021517205
-0.0071362006,0.18981904,-0.1980927,0.0032150468
-0.13119212,-0.13838947,-0.39038894,0.0018089431
0.10518119,0.2003926,-0.18580984,0.0015496883
-0.059370015,-0.36195594,-0.26330292,0.0021746096
-0.10660529,-0.18904993,-0.19877833,0.0020971322
0.0825316,0.0024761024,-0.28220353,0.0035870834
0.049171686,-0.0152741,-0.22503382,0.0025246928
-0.1299166,-0.06489285,-0.18484595,0.0031353326
0.015300149,-0.3670723,-0.27432653,0.001972612
-0.0058180806,-0.15396033,-0.24101132,0.0035905028
0.015038985,-0.06203513,-0.33930692,0.002744426
-0.0018140619,0.1332553,-0.2545971,0.0034030147
0.13910693,-0.063793,-0.2771772,0.0027999536
0.002820981,-0.42740303,-0.2769212,0.0036026388
0.044283975,-0.4308628,-0.18223049,0.0037223785
0.110666625,-0.08496247,-0.38121304,0.0031923885
0.10074772,-0.34226102,-0.164995,0.0030736085
-0.06903453,-0.4321283,-0.26227486,0.002150622
-0.13273229,-0.23083211,-0.23837537,0.003888216
0.08275887,-0.37532428,-0.20140335,0.0024926832
0.07245493,-0.28133905,-0.2805434,0.0037617225
0.024884077,-0.28063664,-0.27150634,0.0029404843
0.12082777,-0.34694275,-0.34365422,0.0025299762
-0.0027416192,-0.292505,-0.2654502,0.0024715953
0.10351643,-0.3933033,-0.17552444,0.0033747533
-0.061771594,0.21274982,-0.3829987,0.0033637837
-0.05364975,-0.19410713,-0.23230013,0.0018976777
-0.028577117,-0.029146055,-0.19454852,0.0019573064
-0.09039161,-0.2652815,-0.30323932,0.0032752948
0.08990133,0.009278861,-0.35456297,0.0033200942
0.06649974,0.054120295,-0.322819,0.0034114884
0.057600543,-0.16648138,-0.32456607,0.0035678658
0.059449382,-0.03174291,-0.27736482,0.002610997
-0.1347878,-0.1557257,-0.21961936,0.0035300008
-0.08032646,-0.014059446,-0.20032652,0.0019671572
-0.0058108605,-0.2333591,-0.22083761,0.0022438378
0.07003217,0.012131199,-0.24615113,0.0039235684
0.055710576,0.16523029,-0.20308049,0.0021515184
-0.083063506,0.15615879,-0.19625562,0.0019002713
-0.114835605,-0.28846443,-0.3194897,0.0032806934
-0.00014592339,0.123796076,-0.2759167,0.0034994902
0.052077554,-0.3149611,-0.26680338,0.0017827381
0.116044894,0.17610988,-0.2698766,0.0024577414
0.012539685,-0.37959635,-0.37242353,0.0015423261
0.084438466,-0.40725982,-0.390083,0.0027540056
-0.06862872,0.19731213,-0.2332905,0.0021971255
-0.009773309,0.16112491,-0.1959694,0.0017337996
0.085727364,-0.339853,-0.27392724,0.002777179
0.13438667,-0.30311474,-0.22138253,0.0033497096
-0.049468815,-0.3453655,-0.31060508,0.0037454779
-0.0936743,-0.16289097,-0.17990226,0.0025083574
0.12853934,0.054511413,-0.29462478,0.0038347472
-0.042763185,-0.20298655,-0.32372922,0.0022696105
0.07972147,-0.023480041,-0.29301733,0.0036816993
0.0077771163,-0.42246285,-0.23537755,0.0039866944
-0.10804955,-0.2607951,-0.27624208,0.002748591
