pos_x,pos_y,pos_z,rad
0.09775315,-0.3017524,-0.2440529,0.0034281588
-0.04794579,-0.40996388,-0.2374009,0.0023241583
-0.14755547,-0.0676522,-0.22447719,0.0023482288
0.00934135,-0.29800195,-0.38733843,0.0029244446
0.032407213,0.17348358,-0.27347323,0.0025441532
0.120541275,-0.22248505,-0.3302141,0.002018274
0.0925551,-0.3319775,-0.2931234,0.003988247
0.08975527,-0.42978215,-0.17238334,0.0021589983
0.118751004,-0.20231226,-0.38437214,0.0028768172
0.10478131,0.17962825,-0.2530358,0.003558282
0.07562582,0.070161626,-0.1884253,0.0019543914
0.0539293,-0.4225821,-0.3530642,0.0024405061
0.13287589,0.104256034,-0.3567723,0.0026262
0.010273865,0.048637487,-0.23910096,0.003661425
-0.016025946,-0.42593002,-0.34689,0.003241135
-0.12945853,-0.2553734,-0.17870177,0.002110402
-0.12313356,-0.07838513,-0.33397433,0.0024367392
-0.12517068,-0.018722275,-0.3041088,0.0015909785
-0.06262702,-0.09843703,-0.36670655,0.0026532535
0.07220805,0.030506024,-0.19766654,0.0037399489
0.09341055,-0.44060928,-0.18732285,0.0036161283
-0.07747876,-0.2347844,-0.15664408,0.0037209378
-0.05745182,-0.43339488,-0.22194386,0.0027702681
-0.035030104,0.06090487,-0.2360343,0.0026822768
0.011182163,0.044696774,-0.27024078,0.0037068783
0.047721885,-0.26769513,-0.32600388,0.0030953034
-0.12632972,-0.4058283,-0.2836254,0.0024756105
0.032609425,-0.38947096,-0.24027143,0.003955257
-0.02159124,0.07972112,-0.3526,0.0017268219
0.09289256,-0.27906865,-0.22163697,0.003458998
0.058365744,-0.4408211,-0.34919572,0.0031598331
0.00715783,-0.41972736,-0.23499182,0.0039601466
-0.14777286,0.15904148,-0.29068434,0.002024852
0.044233542,-0.3528604,-0.3028922,0.0022548013
-0.08729974,-0.050585207,-0.21772131,0.0039543705
0.056117464,-0.25426778,-0.26207694,0.0038634825
0.1235011,-0.4076095,-0.32969344,0.0032589212
-0.06089516,-0.11184244,-0.17076316,0.0036392706
0.025011417,-0.06039674,-0.26155165,0.0021033508
0.043625697,-0.28618857,-0.38050246,0.0036112533
-0.056632623,-0.41347158,-0.22659373,0.0020208403
-0.01187679,0.01589407,-0.22746192,0.00175235
-0.10556227,-0.022334276,-0.36018762,0.003594432
-0.056659244,0.15449676,-0.25659832,0.003051751
-0.10204761,-0.059558477,-0.34257177,0.0029108345
0.08313414,-0.42853695,-0.1659578,0.0020970053
0.01360774,-0.1848364,-0.26558378,0.002314943
-0.13671343,-0.28601214,-0.36826125,0.003236387
0.1228041,-0.08887085,-0.37814906,0.0028593196
-0.06268018,-0.32254165,-0.20425424,0.002736061
-0.12862825,0.04629991,-0.31386393,0.002670961
-0.1365877,-0.01791455,-0.27734727,0.0033375116
0.06372734,0.18441188,-0.39408085,0.0030037086
-0.026048183,-0.4245845,-0.3669084,0.003339231
-0.035576757,-0.012626933,-0.34584153,0.0027677785
0.1222624,-0.279806,-0.25555813,0.0017707227
0.0832023,-0.43175182,-0.21269199,0.0032763449
-0.009965977,-0.41676998,-0.24883169,0.0020573488
0.13097562,0.117031336,-0.15462203,0.0038958439
0.06490318,0.17835999,-0.2497312,0.0029411835
-0.07659791,-0.08706526,-0.33054927,0.0031452219
-0.07943177,0.0525609,-0.33169538,0.0021118016
0.06442883,-0.09971568,-0.23336448,0.0015291838
-0.09951573,-0.21032031,-0.15487319,0.0029510094
-0.016291328,-0.19129825,-0.29794976,0.0037745144
0.00077500247,0.15117958,-0.3292995,0.0028447537
-0.0051261913,-0.3647213,-0.34872073,0.002855634
-0.13384113,-0.19203322,-0.38746855,0.0016470648
-0.06216906,0.0145809585,-0.22572802,0.003119306
-0.040522195,-0.37454578,-0.20464294,0.0031728442
0.016356112,0.16099538,-0.37920523,0.0021517205
-0.0071362006,0.124195576,-0.1980927,0.0032150468
-0.13119212,-0.20401293,-0.39038894,0.0018089431
0.10733531,0.13834864,-0.18684636,0.0015496883
-0.05148678,-0.41247162,-0.26486897,0.0021746096
-0.10660529,-0.2546924,-0.19877833,0.0020971322
0.0825316,-0.063145585,-0.28220353,0.0035870834
0.049171686,-0.08089564,-0.22503382,0.0025246928
-0.1299166,-0.13051632,-0.18484595,0.0031353326
0.010345596,-0.41108274,-0.2719558,0.001972612
-0.00718014,-0.21950085,-0.24101132,0.0035905028
0.015038985,-0.12766017,-0.33930692,0.002744426
-0.0018140619,0.06763567,-0.2545971,0.0034030147
0.13910693,-0.12941827,-0.2771772,0.0027999536
0.0049272287,-0.4332007,-0.27334437,0.0036026388
0.046752907,-0.43575156,-0.18247211,0.0037223785
0.110666625,-0.15058595,-0.38121304,0.0031923885
