pos_x,pos_y,pos_z,rad
0.09693359,-0.2519936,-0.24487247,0.0034281588
-0.0544131,-0.36811334,-0.23763293,0.0023241583
-0.14755547,-0.017894773,-0.22447719,0.0023482288
0.00934135,-0.2482436,-0.38733843,0.0029244446
0.032407213,0.22324194,-0.27347323,0.0025441532
0.120541275,-0.17272669,-0.3302141,0.002018274
0.0925551,-0.28219882,-0.2931234,0.003988247
0.08680569,-0.42910263,-0.1732561,0.0021589983
0.118751004,-0.1525539,-0.38437214,0.0028768172
0.10478131,0.22938661,-0.2530358,0.003558282
0.07562582,0.11991998,-0.1884253,0.0019543914
0.062288843,-0.42207894,-0.3546931,0.0024405061
0.13287589,0.1540144,-0.3567723,0.0026262
0.010273865,0.09839638,-0.23910096,0.003661425
-0.0184339,-0.41348585,-0.34529355,0.003241135
-0.12945853,-0.2055857,-0.17870177,0.002110402
-0.12313356,-0.02862825,-0.33397433,0.0024367392
-0.12517068,0.031035585,-0.3041088,0.0015909785
-0.06262702,-0.0486806,-0.36670655,0.0026532535
0.07220805,0.08026572,-0.19766654,0.0037399489
0.090095,-0.4351426,-0.19008453,0.0036161283
-0.07706898,-0.18620041,-0.15730737,0.0037209378
-0.056488648,-0.42758355,-0.22479078,0.0027702681
-0.035030104,0.11066455,-0.2360343,0.0026822768
0.011182163,0.09445647,-0.27024078,0.0037068783
0.047721885,-0.21793534,-0.32600388,0.0030953034
-0.1467516,-0.38563234,-0.2600348,0.0024756105
0.033774696,-0.34095916,-0.23951507,0.003955257
-0.02159124,0.1294775,-0.3526,0.0017268219
0.09298406,-0.22922449,-0.22163697,0.003458998
0.05898135,-0.43838835,-0.34799862,0.0031598331
0.0008867138,-0.40796626,-0.24024153,0.0039601466
-0.14777286,0.20879984,-0.29068434,0.002024852
0.044233542,-0.30308172,-0.3028922,0.0022548013
-0.08729974,-0.0008271579,-0.21772131,0.0039543705
0.056352414,-0.20560263,-0.26207694,0.0038634825
0.115860894,-0.3947333,-0.33191773,0.0032589212
-0.06089516,-0.06208514,-0.17076316,0.0036392706
0.024797752,-0.010188326,-0.26155165,0.0021033508
0.043625697,-0.2364302,-0.38050246,0.0036112533
-0.060792062,-0.36926946,-0.24310951,0.0020208403
-0.01187679,0.06565377,-0.22746192,0.00175235
-0.10556227,0.027423583,-0.36018762,0.003594432
-0.056659244,0.20425512,-0.25659832,0.003051751
